ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
不思議な生き物がウィスキーを飲んでいた。それは美味しかったからだ。	不思議な生き物がウィスキーを飲んでいた。ウィスキーは美味しかったからだ。	不思議な生き物がウィスキーを飲んでいた。不思議な生き物は美味しかったからだ。
不思議な生き物がウィスキーを飲んでいた。それについてもっとこのような文章を書くべきものがある。	不思議な生き物がウィスキーを飲んでいた。不思議な生き物についてもっとこのような文章を書くべきものがある。	不思議な生き物がウィスキーを飲んでいた。ウィスキーについてもっとこのような文章を書くべきものがある。
エクスカリバーは石と時を共にした。それには待つ場所が必要だったからだ。	エクスカリバーは石と時を共にした。エクスカリバーには待つ場所が必要だったからだ。	エクスカリバーは石と時を共にした。石には待つ場所が必要だったからだ。
エクスカリバーは石と時を共にした。それが滑らかで頑丈だったからだ。	エクスカリバーは石と時を共にした。石が滑らかで頑丈だったからだ。	エクスカリバーは石と時を共にした。エクスカリバーが滑らかで頑丈だったからだ。
バンドは彼らのファンを愛している。彼らは全てのショーに来てくれるからだ。	バンドは彼らのファンを愛している。彼らのファンは全てのショーに来てくれるからだ。	バンドは彼らのファンを愛している。バンドは全てのショーに来てくれるからだ。
バンドは彼らのファンを愛している。彼らは後援者なしには存在できないからだ。	バンドは彼らのファンを愛している。バンドは後援者なしには存在できないからだ。	バンドは彼らのファンを愛している。彼らのファンは後援者なしには存在できないからだ。
ジンボはボバートが用意した魚を食べた。彼は料理が上手かったからだ。	ジンボはボバートが用意した魚を食べた。ボバートは料理が上手かったからだ。	ジンボはボバートが用意した魚を食べた。ジンボは料理が上手かったからだ。
ジンボはボバートが用意した魚を食べた。彼は空腹だったからだ。	ジンボはボバートが用意した魚を食べた。ジンボは空腹だったからだ。	ジンボはボバートが用意した魚を食べた。ボバートは空腹だったからだ。
ガラスは床に当たった。そしてそれは壊れた。	ガラスは床に当たった。そしてガラスは壊れた。	ガラスは床に当たった。そして床は壊れた。
ガラスは床に当たった。そしてそれを傷つけた。	ガラスは床に当たった。そして床を傷つけた。	ガラスは床に当たった。そしてガラスを傷つけた。
牛は柵に打ち当たった。そしてそれは壊れた。	牛は柵に打ち当たった。そして柵は壊れた。	牛は柵に打ち当たった。そして牛は壊れた。
牛は柵に打ち当たった。そしてそれは怪我をした。	牛は柵に打ち当たった。そして牛は怪我をした。	牛は柵に打ち当たった。そして柵は怪我をした。
サリーはメアリーを蹴った。そして彼女は怪我をした。	サリーはメアリーを蹴った。そしてメアリーは怪我をした。	サリーはメアリーを蹴った。そしてサリーは怪我をした。
サリーはメアリーを蹴った。そして彼女は謝った。	サリーはメアリーを蹴った。そしてサリーは謝った。	サリーはメアリーを蹴った。そしてメアリーは謝った。
メアリーはスーに嘘をついた。すると彼女は彼女を引っ叩いた。	メアリーはスーに嘘をついた。するとスーは彼女を引っ叩いた。	メアリーはスーに嘘をついた。するとメアリーは彼女を引っ叩いた。
メアリーはスーに嘘をついた。すると彼女は彼女に許しを乞うた。	メアリーはスーに嘘をついた。するとメアリーは彼女に許しを乞うた。	メアリーはスーに嘘をついた。するとスーは彼女に許しを乞うた。
デイビッドはビルを叩いた。そして彼はそれを楽しんだ。	デイビッドはビルを叩いた。そしてデイビッドはそれを楽しんだ。	デイビッドはビルを叩いた。そしてビルはそれを楽しんだ。
デイビッドはビルを叩いた。すると彼は叫んだ。	デイビッドはビルを叩いた。するとビルは叫んだ。	デイビッドはビルを叩いた。するとデイビッドは叫んだ。
庭師は家主のバラに水をやった。彼は自分の仕事をしていたのだ。	庭師は家主のバラに水をやった。庭師は自分の仕事をしていたのだ。	庭師は家主のバラに水をやった。家主は自分の仕事をしていたのだ。
庭師は家主のバラに水をやった。彼はそのために彼に支払ったのだ。	庭師は家主のバラに水をやった。家主はそのために彼に支払ったのだ。	庭師は家主のバラに水をやった。庭師はそのために彼に支払ったのだ。
ジダンはザンブロッタに頭突きを食らわした。彼は自分の怒りを制御できなかったからだ。	ジダンはザンブロッタに頭突きを食らわした。ジダンは自分の怒りを制御できなかったからだ。	ジダンはザンブロッタに頭突きを食らわした。ザンブロッタは自分の怒りを制御できなかったからだ。
ジダンはザンブロッタに頭突きを食らわした。彼が侮辱していたからだ。	ジダンはザンブロッタに頭突きを食らわした。ザンブロッタが侮辱していたからだ。	ジダンはザンブロッタに頭突きを食らわした。ジダンが侮辱していたからだ。
男は乞食にいくらか金をやった。彼があまりにしつこかったからだ。	男は乞食にいくらか金をやった。乞食があまりにしつこかったからだ。	男は乞食にいくらか金をやった。男があまりにしつこかったからだ。
男は乞食にいくらか金をやった。彼はとても親切だったからだ。	男は乞食にいくらか金をやった。男はとても親切だったからだ。	男は乞食にいくらか金をやった。乞食はとても親切だったからだ。
ビルはボクシング・リングでジョンに勝利した。彼の方が賢く戦ったからだ。	ビルはボクシング・リングでジョンに勝利した。ビルの方が賢く戦ったからだ。	ビルはボクシング・リングでジョンに勝利した。ジョンの方が賢く戦ったからだ。
ビルはボクシング・リングでジョンに勝利した。彼が臆病な戦いをしたからだ。	ビルはボクシング・リングでジョンに勝利した。ジョンが臆病な戦いをしたからだ。	ビルはボクシング・リングでジョンに勝利した。ビルが臆病な戦いをしたからだ。
支配人はインターンを首にした。彼女はあまりに反抗的だったからだ。	支配人はインターンを首にした。インターンはあまりに反抗的だったからだ。	支配人はインターンを首にした。支配人はあまりに反抗的だったからだ。
支配人はインターンを首にした。彼女は腹を立てたからだ。	支配人はインターンを首にした。支配人は腹を立てたからだ。	支配人はインターンを首にした。インターンは腹を立てたからだ。
政府高官は国民に対して公式に謝罪した。彼らはそれを強要されたからだ。	政府高官は国民に対して公式に謝罪した。政府高官はそれを強要されたからだ。	政府高官は国民に対して公式に謝罪した。国民はそれを強要されたからだ。
政府高官は国民に対して公式に謝罪した。彼らがそれを要求したからだ。	政府高官は国民に対して公式に謝罪した。国民がそれを要求したからだ。	政府高官は国民に対して公式に謝罪した。政府高官がそれを要求したからだ。
警官は抗議者を撃った。彼は冷静さを失ったのだ。	警官は抗議者を撃った。警官は冷静さを失ったのだ。	警官は抗議者を撃った。抗議者は冷静さを失ったのだ。
警官は抗議者を撃った。彼が知事を襲おうとしていのだ。	警官は抗議者を撃った。抗議者が知事を襲おうとしていのだ。	警官は抗議者を撃った。警官が知事を襲おうとしていのだ。
ジェームズはいつもオーウェンに命令する。彼がとても従順だからだ。	ジェームズはいつもオーウェンに命令する。オーウェンがとても従順だからだ。	ジェームズはいつもオーウェンに命令する。ジェームズがとても従順だからだ。
ジェームズはいつもオーウェンに命令する。彼が非常に威張りたがりだからだ。	ジェームズはいつもオーウェンに命令する。ジェームズが非常に威張りたがりだからだ。	ジェームズはいつもオーウェンに命令する。オーウェンが非常に威張りたがりだからだ。
チェルシーはマンチェスター・ユナイテッドを憎んでいる。彼らはいつも２番だからだ。	チェルシーはマンチェスター・ユナイテッドを憎んでいる。チェルシーはいつも２番だからだ。	チェルシーはマンチェスター・ユナイテッドを憎んでいる。マンチェスター・ユナイテッドはいつも２番だからだ。
チェルシーはマンチェスター・ユナイテッドを憎んでいる。彼らがあまりにも生意気だからだ。	チェルシーはマンチェスター・ユナイテッドを憎んでいる。マンチェスター・ユナイテッドがあまりにも生意気だからだ。	チェルシーはマンチェスター・ユナイテッドを憎んでいる。チェルシーがあまりにも生意気だからだ。
教授はその学生を強く推薦する。彼が非常に良い質問をするからだ。	教授はその学生を強く推薦する。学生が非常に良い質問をするからだ。	教授はその学生を強く推薦する。教授が非常に良い質問をするからだ。
教授はその学生を強く推薦する。彼は探究心を評価するからだ。	教授はその学生を強く推薦する。教授は探究心を評価するからだ。	教授はその学生を強く推薦する。学生は探究心を評価するからだ。
音楽プレーヤーはファイルを開かなかった。それは形式が間違っていたからだ。	音楽プレーヤーはファイルを開かなかった。ファイルは形式が間違っていたからだ。	音楽プレーヤーはファイルを開かなかった。音楽プレーヤーは形式が間違っていたからだ。
音楽プレーヤーはファイルを開かなかった。それはその形式では鳴らせなかったからだ。	音楽プレーヤーはファイルを開かなかった。音楽プレーヤーはその形式では鳴らせなかったからだ。	音楽プレーヤーはファイルを開かなかった。ファイルはその形式では鳴らせなかったからだ。
学生たちは新しい方針に反対した。それらが余りにも厳しかったからだ。	学生たちは新しい方針に反対した。新しい方針が余りにも厳しかったからだ。	学生たちは新しい方針に反対した。学生たちが余りにも厳しかったからだ。
学生たちは新しい方針に反対した。彼らは怒っていたのだ。	学生たちは新しい方針に反対した。学生たちは怒っていたのだ。	学生たちは新しい方針に反対した。新しい方針は怒っていたのだ。
ティムはジェリーに店まで走るよう頼んだ。彼がリラックスできるようにする為だ。	ティムはジェリーに店まで走るよう頼んだ。ティムがリラックスできるようにする為だ。	ティムはジェリーに店まで走るよう頼んだ。ジェリーがリラックスできるようにする為だ。
ティムはジェリーに店まで走るよう頼んだ。彼の帰宅を遅らせる為だ。	ティムはジェリーに店まで走るよう頼んだ。ジェリーの帰宅を遅らせる為だ。	ティムはジェリーに店まで走るよう頼んだ。ティムの帰宅を遅らせる為だ。
冷蔵庫の中の食品が腐った。それは賞味期限が過ぎたのだ。	冷蔵庫の中の食品が腐った。食品は賞味期限が過ぎたのだ。	冷蔵庫の中の食品が腐った。冷蔵庫は賞味期限が過ぎたのだ。
冷蔵庫の中の食品が腐った。それは電源が入っていなかったのだ。	冷蔵庫の中の食品が腐った。冷蔵庫は電源が入っていなかったのだ。	冷蔵庫の中の食品が腐った。食品は電源が入っていなかったのだ。
警察は犯人を逮捕した。彼らは用意周到でなかったからだ。	警察は犯人を逮捕した。犯人は用意周到でなかったからだ。	警察は犯人を逮捕した。警察は用意周到でなかったからだ。
警察は犯人を逮捕した。彼らは準備万端だったからだ。	警察は犯人を逮捕した。警察は準備万端だったからだ。	警察は犯人を逮捕した。犯人は準備万端だったからだ。
ボールは窓ガラスを割った。それが壊れやすかったからだ。	ボールは窓ガラスを割った。窓ガラスが壊れやすかったからだ。	ボールは窓ガラスを割った。ボールが壊れやすかったからだ。
ボールは窓ガラスを割った。それが堅かったからだ。	ボールは窓ガラスを割った。ボールが堅かったからだ。	ボールは窓ガラスを割った。窓ガラスが堅かったからだ。
トーマスはピーターを追いかけた。しかし彼は逃れた。	トーマスはピーターを追いかけた。しかしピーターは逃れた。	トーマスはピーターを追いかけた。しかしトーマスは逃れた。
トーマスはピーターを追いかけた。しかし彼は追いつけなかった。	トーマスはピーターを追いかけた。しかしトーマスは追いつけなかった。	トーマスはピーターを追いかけた。しかしピーターは追いつけなかった。
雇主はジョンに任務を与えた。彼はそれをやりたくなかったのだが。	雇主はジョンに任務を与えた。ジョンはそれをやりたくなかったのだが。	雇主はジョンに任務を与えた。雇主はそれをやりたくなかったのだが。
雇主はジョンに任務を与えた。彼がそれをやりたかったのだが。	雇主はジョンに任務を与えた。雇主がそれをやりたかったのだが。	雇主はジョンに任務を与えた。ジョンがそれをやりたかったのだが。
コンピュータはパスワードを拒否した。それが違うものだったからだ。	コンピュータはパスワードを拒否した。パスワードが違うものだったからだ。	コンピュータはパスワードを拒否した。コンピュータが違うものだったからだ。
コンピュータはパスワードを拒否した。それが機能不全だったからだ。	コンピュータはパスワードを拒否した。コンピュータが機能不全だったからだ。	コンピュータはパスワードを拒否した。パスワードが機能不全だったからだ。
子供達はご近所さんたちに尋ねた。彼らがハロウィーンにお菓子を貰えるかどうか。	子供達はご近所さんたちに尋ねた。子供達がハロウィーンにお菓子を貰えるかどうか。	子供達はご近所さんたちに尋ねた。ご近所さんがハロウィーンにお菓子を貰えるかどうか。
子供達はご近所さんたちに尋ねた。彼らがハロウィーンにお菓子を用意するかどうか。	子供達はご近所さんたちに尋ねた。ご近所さんがハロウィーンにお菓子を用意するかどうか。	子供達はご近所さんたちに尋ねた。子供達がハロウィーンにお菓子を用意するかどうか。
ガラスはトースターに言った。それが太っていると。	ガラスはトースターに言った。トースターが太っていると。	ガラスはトースターに言った。ガラスが太っていると。
ガラスはトースターに言った。それはチョコレートが好きだと。	ガラスはトースターに言った。ガラスはチョコレートが好きだと。	ガラスはトースターに言った。トースターはチョコレートが好きだと。
サリーはケリーに人形をあげた。彼女は人形が好きだったからだ。	サリーはケリーに人形をあげた。ケリーは人形が好きだったからだ。	サリーはケリーに人形をあげた。サリーは人形が好きだったからだ。
サリーはケリーに人形をあげた。彼女は人形を余分に持っていたからだ。	サリーはケリーに人形をあげた。サリーは人形を余分に持っていたからだ。	サリーはケリーに人形をあげた。ケリーは人形を余分に持っていたからだ。
ジャックはティムを階段から突き落とした。彼は頭にきていたからだ。	ジャックはティムを階段から突き落とした。ジャックは頭にきていたからだ。	ジャックはティムを階段から突き落とした。ティムは頭にきていたからだ。
ジャックはティムを階段から突き落とした。彼は地面まで滑り落ちた。	ジャックはティムを階段から突き落とした。ティムは地面まで滑り落ちた。	ジャックはティムを階段から突き落とした。ジャックは地面まで滑り落ちた。
ジョンは科学者に尋ねた。彼が何の研究をしているのかと。	ジョンは科学者に尋ねた。科学者が何の研究をしているのかと。	ジョンは科学者に尋ねた。ジョンが何の研究をしているのかと。
ジョンは科学者に尋ねた。彼が何の手助けができるかと。	ジョンは科学者に尋ねた。ジョンが何の手助けができるかと。	ジョンは科学者に尋ねた。科学者が何の手助けができるかと。
騎士は馬より竜を好んだ。彼らは飛べるからだ。	騎士は馬より竜を好んだ。竜は飛べるからだ。	騎士は馬より竜を好んだ。馬は飛べるからだ。
騎士は馬より竜を好んだ。彼らは飛べないからだ。	騎士は馬より竜を好んだ。馬は飛べないからだ。	騎士は馬より竜を好んだ。竜は飛べないからだ。
芸術家はモデルに言った。彼女はもっと真っすぐ立たなくてはならないと。	芸術家はモデルに言った。モデルはもっと真っすぐ立たなくてはならないと。	芸術家はモデルに言った。芸術家はもっと真っすぐ立たなくてはならないと。
芸術家はモデルに言った。彼女はもっと沢山絵の具を手に入れなくてはならないと。	芸術家はモデルに言った。芸術家はもっと沢山絵の具を手に入れなくてはならないと。	芸術家はモデルに言った。モデルはもっと沢山絵の具を手に入れなくてはならないと。
ミスティはメアリーと入れ替わった。彼女は家に帰らなければならなかったからだ。	ミスティはメアリーと入れ替わった。ミスティは家に帰らなければならなかったからだ。	ミスティはメアリーと入れ替わった。メアリーは家に帰らなければならなかったからだ。
ミスティはメアリーと入れ替わった。彼女しか出来るひとがいなかったからだ。	ミスティはメアリーと入れ替わった。メアリーしか出来るひとがいなかったからだ。	ミスティはメアリーと入れ替わった。ミスティしか出来るひとがいなかったからだ。
シゲル・ミヤモトはサトシ・タジリの助言者だった。彼は多くのことを習った。	シゲル・ミヤモトはサトシ・タジリの助言者だった。サトシ・タジリは多くのことを習った。	シゲル・ミヤモトはサトシ・タジリの助言者だった。シゲル・ミヤモトは多くのことを習った。
シゲル・ミヤモトはサトシ・タジリの助言者だった。彼は多くのことを教えた。	シゲル・ミヤモトはサトシ・タジリの助言者だった。シゲル・ミヤモトは多くのことを教えた。	シゲル・ミヤモトはサトシ・タジリの助言者だった。サトシ・タジリは多くのことを教えた。
ブロックはトレイシーより材料のことが良くわかった。彼はよく注意していたからだ。	ブロックはトレイシーより材料のことが良くわかった。ブロックはよく注意していたからだ。	ブロックはトレイシーより材料のことが良くわかった。トレイシーはよく注意していたからだ。
ブロックはトレイシーより材料のことが良くわかった。彼はよく注意していなかったからだ。	ブロックはトレイシーより材料のことが良くわかった。トレイシーはよく注意していなかったからだ。	ブロックはトレイシーより材料のことが良くわかった。ブロックはよく注意していなかったからだ。
ジョンはドーに投票したかった。しかし彼は適当な候補者には見えなかった。	ジョンはドーに投票したかった。しかしドーは適当な候補者には見えなかった。	ジョンはドーに投票したかった。しかしジョンは適当な候補者には見えなかった。
ジョンはドーに投票したかった。しかし彼は決心することができなかった。	ジョンはドーに投票したかった。しかしジョンは決心することができなかった。	ジョンはドーに投票したかった。しかしドーは決心することができなかった。
ユージはマイケル・ジャクソンのファンだ。彼は「スリラー」が好きだったからだ。	ユージはマイケル・ジャクソンのファンだ。ユージは「スリラー」が好きだったからだ。	ユージはマイケル・ジャクソンのファンだ。マイケル・ジャクソンは「スリラー」が好きだったからだ。
ユージはマイケル・ジャクソンのファンだ。彼は有名だったからだ。	ユージはマイケル・ジャクソンのファンだ。マイケル・ジャクソンは有名だったからだ。	ユージはマイケル・ジャクソンのファンだ。ユージは有名だったからだ。
セガは任天堂に負けた。彼らが優れていたからだ。	セガは任天堂に負けた。任天堂が優れていたからだ。	セガは任天堂に負けた。セガが優れていたからだ。
セガは任天堂に負けた。彼らが劣っていたからだ。	セガは任天堂に負けた。セガが劣っていたからだ。	セガは任天堂に負けた。任天堂が劣っていたからだ。
スペースマリーンはエイリアンを殺した。彼らは脅威だったからだ。	スペースマリーンはエイリアンを殺した。エイリアンは脅威だったからだ。	スペースマリーンはエイリアンを殺した。スペースマリーンは脅威だったからだ。
スペースマリーンはエイリアンを殺した。彼らはそう命令されたからだ。	スペースマリーンはエイリアンを殺した。スペースマリーンはそう命令されたからだ。	スペースマリーンはエイリアンを殺した。エイリアンはそう命令されたからだ。
ロッキーはドラゴを負かした。群衆が彼を支持していたからだ。	ロッキーはドラゴを負かした。群衆がロッキーを支持していたからだ。	ロッキーはドラゴを負かした。群衆がドラゴを支持していたからだ。
ロッキーはドラゴを負かした。群衆が彼を支持していなかったからだ。	ロッキーはドラゴを負かした。群衆がドラゴを支持していなかったからだ。	ロッキーはドラゴを負かした。群衆がロッキーを支持していなかったからだ。
ルーカスはクラウスより若い。彼は最も遅く生まれたからだ。	ルーカスはクラウスより若い。ルーカスは最も遅く生まれたからだ。	ルーカスはクラウスより若い。クラウスは最も遅く生まれたからだ。
ルーカスはクラウスより若い。彼は最も早く生まれたからだ。	ルーカスはクラウスより若い。クラウスは最も早く生まれたからだ。	ルーカスはクラウスより若い。ルーカスは最も早く生まれたからだ。
ジョイはジェニーが羨ましかった。彼女は彼女より稼いでいたからだ。	ジョイはジェニーが羨ましかった。ジェニーは彼女より稼いでいたからだ。	ジョイはジェニーが羨ましかった。ジョイは彼女より稼いでいたからだ。
ジョイはジェニーが羨ましかった。彼女は彼女より稼いでいなかったからだ。	ジョイはジェニーが羨ましかった。ジョイは彼女より稼いでいなかったからだ。	ジョイはジェニーが羨ましかった。ジェニーは彼女より稼いでいなかったからだ。
ビルはラリーを殴った。彼は傷ついた。	ビルはラリーを殴った。ラリーは傷ついた。	ビルはラリーを殴った。ビルは傷ついた。
ビルはラリーを殴った。彼は怒っていたからだ。	ビルはラリーを殴った。ビルは怒っていたからだ。	ビルはラリーを殴った。ラリーは怒っていたからだ。
コンピュータはプログラムを実行できなかった。それはあまりにもたくさんのエラーがあったからだ。	コンピュータはプログラムを実行できなかった。プログラムはあまりにもたくさんのエラーがあったからだ。	コンピュータはプログラムを実行できなかった。コンピュータはあまりにもたくさんのエラーがあったからだ。
コンピュータはプログラムを実行できなかった。それのメモリーが十分でなかったからだ。	コンピュータはプログラムを実行できなかった。コンピュータのメモリーが十分でなかったからだ。	コンピュータはプログラムを実行できなかった。プログラムのメモリーが十分でなかったからだ。
男はマークにまた尋ねた。彼は知りたがり屋だったのだ。	男はマークにまた尋ねた。男は知りたがり屋だったのだ。	男はマークにまた尋ねた。マークは知りたがり屋だったのだ。
男はマークにまた尋ねた。彼が曖昧だったからだ。	男はマークにまた尋ねた。マークが曖昧だったからだ。	男はマークにまた尋ねた。男が曖昧だったからだ。
ジョーはトムを起こそうとした。しかし彼には出来なかった。	ジョーはトムを起こそうとした。しかしジョーには出来なかった。	ジョーはトムを起こそうとした。しかしトムには出来なかった。
ジョーはトムを起こそうとした。しかし彼は起きようとしなかった。	ジョーはトムを起こそうとした。しかしトムは起きようとしなかった。	ジョーはトムを起こそうとした。しかしジョーは起きようとしなかった。
他の学生はロバートを正した。彼のほうが問題を良く理解していたからだ。	他の学生はロバートを正した。他の学生のほうが問題を良く理解していたからだ。	他の学生はロバートを正した。ロバートのほうが問題を良く理解していたからだ。
他の学生はロバートを正した。彼が問題を誤解していたからだ。	他の学生はロバートを正した。ロバートが問題を誤解していたからだ。	他の学生はロバートを正した。他の学生が問題を誤解していたからだ。
電車の車掌は入り口に立っている男に勧告した。彼は規則を施行していたのだ。	電車の車掌は入り口に立っている男に勧告した。電車の車掌は規則を施行していたのだ。	電車の車掌は入り口に立っている男に勧告した。入り口に立っている男は規則を施行していたのだ。
電車の車掌は入り口に立っている男に勧告した。彼は規則を守っていなかったからだ。	電車の車掌は入り口に立っている男に勧告した。入り口に立っている男は規則を守っていなかったからだ。	電車の車掌は入り口に立っている男に勧告した。電車の車掌は規則を守っていなかったからだ。
エマはボールをジェイニーにパスしなかった。彼女はオープンだったのに。	エマはボールをジェイニーにパスしなかった。ジェイニーはオープンだったのに。	エマはボールをジェイニーにパスしなかった。エマはオープンだったのに。
エマはボールをジェイニーにパスしなかった。彼女はそうすべきだったのに。	エマはボールをジェイニーにパスしなかった。エマはそうすべきだったのに。	エマはボールをジェイニーにパスしなかった。ジェイニーはそうすべきだったのに。
ポールはヘンリーを揶揄った。彼は他のみんながそうしたとしっていたのだ。	ポールはヘンリーを揶揄った。ポールは他のみんながそうしたとしっていたのだ。	ポールはヘンリーを揶揄った。ヘンリーは他のみんながそうしたとしっていたのだ。
ポールはヘンリーを揶揄った。彼は格好の標的だったからだ。	ポールはヘンリーを揶揄った。ヘンリーは格好の標的だったからだ。	ポールはヘンリーを揶揄った。ポールは格好の標的だったからだ。
少年は彼の友達にクッキーをあげた。彼は空腹だったからだ。	少年は彼の友達にクッキーをあげた。友達は空腹だったからだ。	少年は彼の友達にクッキーをあげた。少年は空腹だったからだ。
少年は彼の友達にクッキーをあげた。彼は余分に持っていたからだ。	少年は彼の友達にクッキーをあげた。少年は余分に持っていたからだ。	少年は彼の友達にクッキーをあげた。友達は余分に持っていたからだ。
政府はその製品に課税した。それが販売の利益を得ることができるように。	政府はその製品に課税した。政府が販売の利益を得ることができるように。	政府はその製品に課税した。その製品が販売の利益を得ることができるように。
政府はその製品に課税した。だからそれはもっと高くなった。	政府はその製品に課税した。だからその製品はもっと高くなった。	政府はその製品に課税した。だから政府はもっと高くなった。
シェフはキャプテンのために朝食を作った。彼はそう求められたからだ。	シェフはキャプテンのために朝食を作った。シェフはそう求められたからだ。	シェフはキャプテンのために朝食を作った。キャプテンはそう求められたからだ。
シェフはキャプテンのために朝食を作った。彼は食べ物を求めたからだ。	シェフはキャプテンのために朝食を作った。キャプテンは食べ物を求めたからだ。	シェフはキャプテンのために朝食を作った。シェフは食べ物を求めたからだ。
バンドはファンと良く繋がっている。だから彼らはアルバムを買い続ける。	バンドはファンと良く繋がっている。だからファンはアルバムを買い続ける。	バンドはファンと良く繋がっている。だからバンドはアルバムを買い続ける。
バンドはファンと良く繋がっている。だから彼らはアルバムを作り続ける。	バンドはファンと良く繋がっている。だからバンドはアルバムを作り続ける。	バンドはファンと良く繋がっている。だからファンはアルバムを作り続ける。
ビルはケンからバナナを盗むことができた。彼は敏捷だったからだ。	ビルはケンからバナナを盗むことができた。ビルは敏捷だったからだ。	ビルはケンからバナナを盗むことができた。ケンは敏捷だったからだ。
ビルはケンからバナナを盗むことができた。彼はのんびりしていたからだ。	ビルはケンからバナナを盗むことができた。ケンはのんびりしていたからだ。	ビルはケンからバナナを盗むことができた。ビルはのんびりしていたからだ。
アレンはレプラカーンを追いかけた。彼が大金を持っていたからだ。	アレンはレプラカーンを追いかけた。レプラカーンが大金を持っていたからだ。	アレンはレプラカーンを追いかけた。アレンが大金を持っていたからだ。
アレンはレプラカーンを追いかけた。彼は大金が欲しかったからだ。	アレンはレプラカーンを追いかけた。アレンは大金が欲しかったからだ。	アレンはレプラカーンを追いかけた。レプラカーンは大金が欲しかったからだ。
審判はその競技者を気に入っていた。だから彼が金メダルを受けた。	審判はその競技者を気に入っていた。だからその競技者が金メダルを受けた。	審判はその競技者を気に入っていた。だから審判が金メダルを受けた。
審判はその競技者を気に入っていた。だから彼は好意的に投票した。	審判はその競技者を気に入っていた。だから審判は好意的に投票した。	審判はその競技者を気に入っていた。だからその競技者は好意的に投票した。
マラカイのプログラムはコンピュータで起動しないだろう。それにはバグが一杯あるから。	マラカイのプログラムはコンピュータで起動しないだろう。マラカイのプログラムにはバグが一杯あるから。	マラカイのプログラムはコンピュータで起動しないだろう。コンピュータにはバグが一杯あるから。
マラカイのプログラムはコンピュータで起動しないだろう。それには故障したハードドライブがあるから。	マラカイのプログラムはコンピュータで起動しないだろう。コンピュータには故障したハードドライブがあるから。	マラカイのプログラムはコンピュータで起動しないだろう。マラカイのプログラムには故障したハードドライブがあるから。
経営者側は従業員に昇給させた。彼らは他の選択肢がなかったからだ。	経営者側は従業員に昇給させた。経営者側は他の選択肢がなかったからだ。	経営者側は従業員に昇給させた。従業員は他の選択肢がなかったからだ。
経営者側は従業員に昇給させた。彼らはストライキをすると脅したからだ。	経営者側は従業員に昇給させた。従業員はストライキをすると脅したからだ。	経営者側は従業員に昇給させた。経営者側はストライキをすると脅したからだ。
ローマ軍団はペルシャ人を攻撃した。彼らが脅威を感じたからだ。	ローマ軍団はペルシャ人を攻撃した。ローマ軍団が脅威を感じたからだ。	ローマ軍団はペルシャ人を攻撃した。ペルシャ人が脅威を感じたからだ。
ローマ軍団はペルシャ人を攻撃した。彼らが侵入してきたからだ。	ローマ軍団はペルシャ人を攻撃した。ペルシャ人が侵入してきたからだ。	ローマ軍団はペルシャ人を攻撃した。ローマ軍団が侵入してきたからだ。
茶色のキツネは犬を飛び越した。それは敏捷だったからだ。	茶色のキツネは犬を飛び越した。茶色のキツネは敏捷だったからだ。	茶色のキツネは犬を飛び越した。犬は敏捷だったからだ。
茶色のキツネは犬を飛び越した。それがノロマだったからだ。	茶色のキツネは犬を飛び越した。犬がノロマだったからだ。	茶色のキツネは犬を飛び越した。茶色のキツネがノロマだったからだ。
アリスはグウェンが引っ越すのを手伝った。彼女は良い人だったからだ。	アリスはグウェンが引っ越すのを手伝った。アリスは良い人だったからだ。	アリスはグウェンが引っ越すのを手伝った。グウェンは良い人だったからだ。
アリスはグウェンが引っ越すのを手伝った。彼女一人では手に負えなかったからだ。	アリスはグウェンが引っ越すのを手伝った。グウェン一人では手に負えなかったからだ。	アリスはグウェンが引っ越すのを手伝った。アリス一人では手に負えなかったからだ。
マークはクォーターバックにタックルした。しかし彼はなんとかパスを成功させた。	マークはクォーターバックにタックルした。しかしクォーターバックはなんとかパスを成功させた。	マークはクォーターバックにタックルした。しかしマークはなんとかパスを成功させた。
マークはクォーターバックにタックルした。しかし彼はペナルティーを取られた。	マークはクォーターバックにタックルした。しかしマークはペナルティーを取られた。	マークはクォーターバックにタックルした。しかしクォーターバックはペナルティーを取られた。
カイルはレースでマークを打ち負かした。彼は学校で一番足が速かったからだ。	カイルはレースでマークを打ち負かした。カイルは学校で一番足が速かったからだ。	カイルはレースでマークを打ち負かした。マークは学校で一番足が速かったからだ。
カイルはレースでマークを打ち負かした。彼があまりに速く飛び出したからだ。	カイルはレースでマークを打ち負かした。マークがあまりに速く飛び出したからだ。	カイルはレースでマークを打ち負かした。カイルがあまりに速く飛び出したからだ。
ストライカーはゴールキーパーに対して得点をあげた。彼はディフェンダーを振り切ったからだ。	ストライカーはゴールキーパーに対して得点をあげた。ストライカーはディフェンダーを振り切ったからだ。	ストライカーはゴールキーパーに対して得点をあげた。ゴールキーパーはディフェンダーを振り切ったからだ。
ストライカーはゴールキーパーに対して得点をあげた。彼は不意を突かれたのだ。	ストライカーはゴールキーパーに対して得点をあげた。ゴールキーパーは不意を突かれたのだ。	ストライカーはゴールキーパーに対して得点をあげた。ストライカーは不意を突かれたのだ。
